tavg_mean,tmin_mean,tmin_peak,tmax_mean,tmax_peak,prcp_sum,wspd_mean,pres_mean,Month,TotalConsumption_electric,TotalCost_electric,UsagePeriodDays_electric,TotalConsumption_gas,TotalCost_gas,UsagePeriodDays_gas
10.623333333333333,6.41,0.6,15.463333333333333,30.0,145.70000000000002,19.529999999999998,1016.8607142857143,2017-04-01,9459464.0,1018742.61,29.852364104213574,462393.5,384003.35,30.37
13.280645161290321,10.083870967741936,5.6,16.95483870967742,35.0,87.7,17.548387096774192,1013.3655172413793,2017-05-01,13175917.0,1635968.46,30.757556474705694,257153.95,254042.61,30.572602739726026
20.603333333333335,15.863333333333333,8.3,25.759999999999998,35.0,123.30000000000001,18.46333333333333,1012.6344827586207,2017-06-01,14899327.0,1551363.38,30.961217948717948,177932.06,193869.76,31.0
22.238709677419354,18.306451612903224,13.3,26.683870967741935,33.9,102.39999999999999,15.55483870967742,1014.4516129032259,2017-07-01,12746445.0,1739603.1199999999,29.795898750400514,162797.41,183407.01,29.914373088685014
21.929032258064513,18.041935483870965,13.9,26.409677419354836,32.8,40.199999999999996,14.819354838709677,1016.5103448275862,2017-08-01,13273191.0,1596754.01,31.636100386100384,195727.02,196767.66,30.860869565217392
19.226666666666667,15.463333333333333,10.0,23.56,31.1,94.9,17.026666666666667,1015.9214285714286,2017-09-01,12549391.0,2245882.97,30.652692679780717,265668.25,218239.22999999998,29.838616714697405
16.27741935483871,12.13225806451613,4.4,20.519354838709678,26.7,105.29999999999998,17.677419354838708,1020.2,2017-10-01,11646900.75,1981327.81,30.3125,746030.37,550447.73,30.36390532544379
6.716666666666667,2.283333333333333,-5.5,10.746666666666666,23.9,45.7,18.063333333333333,1018.7185185185185,2017-11-01,11563099.0,2075978.1,29.174744897959183,1451728.2,1025645.16,31.59347181008902
-0.7645161290322582,-3.958064516129032,-16.6,2.5483870967741935,15.0,63.3,18.425806451612903,1017.475,2017-12-01,13102539.0,3012968.15,32.52211817888279,2008371.89,1348921.37,31.16857142857143
-1.8451612903225805,-5.890322580645161,-18.8,2.193548387096774,16.1,124.89999999999999,21.45483870967742,1021.0749999999999,2018-01-01,12235523.0,2417245.58,29.45799806887673,1344105.43,1050808.6,28.103151862464184
3.367857142857143,-1.2142857142857142,-12.1,8.0,22.2,95.8,17.835714285714285,1023.16,2018-02-01,9679481.0,1709135.64,31.039021164021165,1318203.98,1041457.39,30.845481049562682
2.609677419354839,-0.29677419354838713,-8.8,6.15483870967742,17.8,129.0,24.270967741935483,1011.4769230769232,2018-03-01,12338915.0,2271486.5,28.558814254178493,1067796.24,981785.81,29.797619047619047
7.069999999999999,3.2199999999999998,-1.6,11.616666666666667,21.1,117.30000000000001,19.206666666666667,1015.2730769230768,2018-04-01,9402576.0,1707137.03,30.80220492866407,488193.34,557039.39,30.420118343195266
16.058064516129033,11.370967741935484,6.7,22.061290322580643,32.2,48.199999999999996,16.093548387096774,1016.9769230769232,2018-05-01,13191813.0,2423505.57,30.71309370988447,208742.30000000002,287403.13,31.70926517571885
19.676666666666666,15.316666666666666,9.4,24.293333333333333,33.3,75.3,16.503333333333334,1013.4896551724138,2018-06-01,13061306.0,2634763.52,30.598010907924287,189118.90000000002,270927.52,29.699731903485254
24.387096774193548,20.248387096774195,16.1,28.76774193548387,36.7,115.69999999999999,15.887096774193548,1018.8758620689656,2018-07-01,13608042.0,2744046.08,29.806348188521962,176995.67,255320.50999999998,29.49266862170088
24.951612903225808,21.12258064516129,16.7,29.338709677419356,36.7,118.3,15.235483870967743,1015.9290322580645,2018-08-01,14137829.0,2938871.22,30.485958485958484,195270.57,225129.52000000002,30.988636363636363
20.266666666666666,17.13,11.7,24.006666666666668,36.1,130.2,15.536666666666667,1022.0333333333333,2018-09-01,12400714.0,2518452.12,30.474111041796633,414840.82,400250.13,30.282958199356912
12.393548387096773,8.44516129032258,1.1,16.470967741935485,30.0,96.0,18.029032258064515,1016.1870967741935,2018-10-01,11978285.0,2191757.05,31.07909061799552,954519.0,1082936.92,28.937837837837836
6.153333333333333,2.813333333333333,-9.9,9.376666666666667,21.1,235.1,20.19,1016.48,2018-11-01,12025289.09,2400907.19,30.21472,1287256.52,1574191.93,31.503086419753085
